id,companyid,date,invoiceNumber,partner,total
102,202,19-DEC-2020,10102,ABCD,10
103,203,19-DEC-2020,10103,ABCD,10
104,204,19-DEC-2020,10104,ABCD,10
105,205,19-DEC-2020,10105,ABCD,10
106,206,19-DEC-2020,10106,ABCD,10
107,207,19-DEC-2020,10107,ABCD,10
108,208,19-DEC-2020,10108,ABCD,10
109,209,19-DEC-2020,10109,ABCD,10
110,210,19-DEC-2020,10110,ABCD,10
111,211,19-DEC-2020,10111,ABCD,10
112,212,19-DEC-2020,10112,ABCD,10
113,213,19-DEC-2020,10113,ABCD,10
114,214,19-DEC-2020,10114,ABCD,10
115,215,19-DEC-2020,10115,ABCD,10
116,216,19-DEC-2020,10116,ABCD,10
117,217,19-DEC-2020,10117,ABCD,10
118,218,19-DEC-2020,10118,ABCD,10
119,219,19-DEC-2020,10119,ABCD,10
120,220,19-DEC-2020,10120,ABCD,10
121,221,19-DEC-2020,10121,ABCD,10
122,222,19-DEC-2020,10122,ABCD,10
123,223,19-DEC-2020,10123,ABCD,10
124,224,19-DEC-2020,10124,ABCD,10
125,225,19-DEC-2020,10125,ABCD,10
126,226,19-DEC-2020,10126,ABCD,10
127,227,19-DEC-2020,10127,ABCD,10
128,228,19-DEC-2020,10128,ABCD,10
129,229,19-DEC-2020,10129,ABCD,10
130,230,19-DEC-2020,10130,ABCD,10
131,231,19-DEC-2020,10131,ABCD,10
132,232,19-DEC-2020,10132,ABCD,10
133,233,19-DEC-2020,10133,ABCD,10
134,234,19-DEC-2020,10134,ABCD,10
135,235,19-DEC-2020,10135,ABCD,10
136,236,19-DEC-2020,10136,ABCD,10
137,237,19-DEC-2020,10137,ABCD,10
138,238,19-DEC-2020,10138,ABCD,10
139,239,19-DEC-2020,10139,ABCD,10
140,240,19-DEC-2020,10140,ABCD,10
141,241,19-DEC-2020,10141,ABCD,10
142,242,19-DEC-2020,10142,ABCD,10
143,243,19-DEC-2020,10143,ABCD,10
144,244,19-DEC-2020,10144,ABCD,10
145,245,19-DEC-2020,10145,ABCD,10
146,246,19-DEC-2020,10146,ABCD,10
147,247,19-DEC-2020,10147,ABCD,10
148,248,19-DEC-2020,10148,ABCD,10
149,249,19-DEC-2020,10149,ABCD,10
150,250,19-DEC-2020,10150,ABCD,10
151,251,19-DEC-2020,10151,ABCD,10
152,252,19-DEC-2020,10152,ABCD,10
153,253,19-DEC-2020,10153,ABCD,10
154,254,19-DEC-2020,10154,ABCD,10
155,255,19-DEC-2020,10155,ABCD,10
156,256,19-DEC-2020,10156,ABCD,10
157,257,19-DEC-2020,10157,ABCD,10
158,258,19-DEC-2020,10158,ABCD,10
159,259,19-DEC-2020,10159,ABCD,10
160,260,19-DEC-2020,10160,ABCD,10
161,261,19-DEC-2020,10161,ABCD,10
162,262,19-DEC-2020,10162,ABCD,10
163,263,19-DEC-2020,10163,ABCD,10
164,264,19-DEC-2020,10164,ABCD,10
165,265,19-DEC-2020,10165,ABCD,10
166,266,19-DEC-2020,10166,ABCD,10
167,267,19-DEC-2020,10167,ABCD,10
168,268,19-DEC-2020,10168,ABCD,10
169,269,19-DEC-2020,10169,ABCD,10
170,270,19-DEC-2020,10170,ABCD,10
171,271,19-DEC-2020,10171,ABCD,10
172,272,19-DEC-2020,10172,ABCD,10
173,273,19-DEC-2020,10173,ABCD,10
174,274,19-DEC-2020,10174,ABCD,10
175,275,19-DEC-2020,10175,ABCD,10
176,276,19-DEC-2020,10176,ABCD,10
177,277,19-DEC-2020,10177,ABCD,10
178,278,19-DEC-2020,10178,ABCD,10
179,279,19-DEC-2020,10179,ABCD,10
180,280,19-DEC-2020,10180,ABCD,10
181,281,19-DEC-2020,10181,ABCD,10
182,282,19-DEC-2020,10182,ABCD,10
183,283,19-DEC-2020,10183,ABCD,10
184,284,19-DEC-2020,10184,ABCD,10
185,285,19-DEC-2020,10185,ABCD,10
186,286,19-DEC-2020,10186,ABCD,10
187,287,19-DEC-2020,10187,ABCD,10
188,288,19-DEC-2020,10188,ABCD,10
189,289,19-DEC-2020,10189,ABCD,10
190,290,19-DEC-2020,10190,ABCD,10
191,291,19-DEC-2020,10191,ABCD,10
192,292,19-DEC-2020,10192,ABCD,10
193,293,19-DEC-2020,10193,ABCD,10
194,294,19-DEC-2020,10194,ABCD,10
195,295,19-DEC-2020,10195,ABCD,10
196,296,19-DEC-2020,10196,ABCD,10
197,297,19-DEC-2020,10197,ABCD,10
198,298,19-DEC-2020,10198,ABCD,10
199,299,19-DEC-2020,10199,ABCD,10
200,300,19-DEC-2020,10200,ABCD,10
201,301,19-DEC-2020,10201,ABCD,10
202,302,19-DEC-2020,10202,ABCD,10
203,303,19-DEC-2020,10203,ABCD,10
204,304,19-DEC-2020,10204,ABCD,10
205,305,19-DEC-2020,10205,ABCD,10
206,306,19-DEC-2020,10206,ABCD,10
207,307,19-DEC-2020,10207,ABCD,10
208,308,19-DEC-2020,10208,ABCD,10
209,309,19-DEC-2020,10209,ABCD,10
210,310,19-DEC-2020,10210,ABCD,10
211,311,19-DEC-2020,10211,ABCD,10
212,312,19-DEC-2020,10212,ABCD,10
213,313,19-DEC-2020,10213,ABCD,10
214,314,19-DEC-2020,10214,ABCD,10
215,315,19-DEC-2020,10215,ABCD,10
216,316,19-DEC-2020,10216,ABCD,10
217,317,19-DEC-2020,10217,ABCD,10
218,318,19-DEC-2020,10218,ABCD,10
219,319,19-DEC-2020,10219,ABCD,10
220,320,19-DEC-2020,10220,ABCD,10
221,321,19-DEC-2020,10221,ABCD,10
222,322,19-DEC-2020,10222,ABCD,10
223,323,19-DEC-2020,10223,ABCD,10
224,324,19-DEC-2020,10224,ABCD,10
225,325,19-DEC-2020,10225,ABCD,10
226,326,19-DEC-2020,10226,ABCD,10
227,327,19-DEC-2020,10227,ABCD,10
228,328,19-DEC-2020,10228,ABCD,10
229,329,19-DEC-2020,10229,ABCD,10
230,330,19-DEC-2020,10230,ABCD,10
231,331,19-DEC-2020,10231,ABCD,10
232,332,19-DEC-2020,10232,ABCD,10
233,333,19-DEC-2020,10233,ABCD,10
234,334,19-DEC-2020,10234,ABCD,10
235,335,19-DEC-2020,10235,ABCD,10
236,336,19-DEC-2020,10236,ABCD,10
237,337,19-DEC-2020,10237,ABCD,10
238,338,19-DEC-2020,10238,ABCD,10
239,339,19-DEC-2020,10239,ABCD,10
240,340,19-DEC-2020,10240,ABCD,10
241,341,19-DEC-2020,10241,ABCD,10
242,342,19-DEC-2020,10242,ABCD,10
243,343,19-DEC-2020,10243,ABCD,10
244,344,19-DEC-2020,10244,ABCD,10
245,345,19-DEC-2020,10245,ABCD,10
246,346,19-DEC-2020,10246,ABCD,10
247,347,19-DEC-2020,10247,ABCD,10
248,348,19-DEC-2020,10248,ABCD,10
249,349,19-DEC-2020,10249,ABCD,10
250,350,19-DEC-2020,10250,ABCD,10
251,351,19-DEC-2020,10251,ABCD,10
252,352,19-DEC-2020,10252,ABCD,10
253,353,19-DEC-2020,10253,ABCD,10
254,354,19-DEC-2020,10254,ABCD,10
255,355,19-DEC-2020,10255,ABCD,10
256,356,19-DEC-2020,10256,ABCD,10
257,357,19-DEC-2020,10257,ABCD,10
258,358,19-DEC-2020,10258,ABCD,10
259,359,19-DEC-2020,10259,ABCD,10
260,360,19-DEC-2020,10260,ABCD,10
261,361,19-DEC-2020,10261,ABCD,10
262,362,19-DEC-2020,10262,ABCD,10
263,363,19-DEC-2020,10263,ABCD,10
264,364,19-DEC-2020,10264,ABCD,10
265,365,19-DEC-2020,10265,ABCD,10
266,366,19-DEC-2020,10266,ABCD,10
267,367,19-DEC-2020,10267,ABCD,10
268,368,19-DEC-2020,10268,ABCD,10
269,369,19-DEC-2020,10269,ABCD,10
270,370,19-DEC-2020,10270,ABCD,10
271,371,19-DEC-2020,10271,ABCD,10
272,372,19-DEC-2020,10272,ABCD,10
273,373,19-DEC-2020,10273,ABCD,10
274,374,19-DEC-2020,10274,ABCD,10
275,375,19-DEC-2020,10275,ABCD,10
276,376,19-DEC-2020,10276,ABCD,10
277,377,19-DEC-2020,10277,ABCD,10
278,378,19-DEC-2020,10278,ABCD,10
279,379,19-DEC-2020,10279,ABCD,10
280,380,19-DEC-2020,10280,ABCD,10
281,381,19-DEC-2020,10281,ABCD,10
282,382,19-DEC-2020,10282,ABCD,10
283,383,19-DEC-2020,10283,ABCD,10
284,384,19-DEC-2020,10284,ABCD,10
285,385,19-DEC-2020,10285,ABCD,10
286,386,19-DEC-2020,10286,ABCD,10
287,387,19-DEC-2020,10287,ABCD,10
288,388,19-DEC-2020,10288,ABCD,10
289,389,19-DEC-2020,10289,ABCD,10
290,390,19-DEC-2020,10290,ABCD,10
291,391,19-DEC-2020,10291,ABCD,10
292,392,19-DEC-2020,10292,ABCD,10
293,393,19-DEC-2020,10293,ABCD,10
294,394,19-DEC-2020,10294,ABCD,10
295,395,19-DEC-2020,10295,ABCD,10
296,396,19-DEC-2020,10296,ABCD,10
297,397,19-DEC-2020,10297,ABCD,10
298,398,19-DEC-2020,10298,ABCD,10
299,399,19-DEC-2020,10299,ABCD,10
300,400,19-DEC-2020,10300,ABCD,10
301,401,19-DEC-2020,10301,ABCD,10
302,402,19-DEC-2020,10302,ABCD,10
303,403,19-DEC-2020,10303,ABCD,10
304,404,19-DEC-2020,10304,ABCD,10
305,405,19-DEC-2020,10305,ABCD,10
306,406,19-DEC-2020,10306,ABCD,10
307,407,19-DEC-2020,10307,ABCD,10
308,408,19-DEC-2020,10308,ABCD,10
309,409,19-DEC-2020,10309,ABCD,10
310,410,19-DEC-2020,10310,ABCD,10
311,411,19-DEC-2020,10311,ABCD,10
312,412,19-DEC-2020,10312,ABCD,10
313,413,19-DEC-2020,10313,ABCD,10
314,414,19-DEC-2020,10314,ABCD,10
315,415,19-DEC-2020,10315,ABCD,10
316,416,19-DEC-2020,10316,ABCD,10
317,417,19-DEC-2020,10317,ABCD,10
318,418,19-DEC-2020,10318,ABCD,10
319,419,19-DEC-2020,10319,ABCD,10
320,420,19-DEC-2020,10320,ABCD,10
321,421,19-DEC-2020,10321,ABCD,10
322,422,19-DEC-2020,10322,ABCD,10
323,423,19-DEC-2020,10323,ABCD,10
324,424,19-DEC-2020,10324,ABCD,10
325,425,19-DEC-2020,10325,ABCD,10
326,426,19-DEC-2020,10326,ABCD,10
327,427,19-DEC-2020,10327,ABCD,10
328,428,19-DEC-2020,10328,ABCD,10
329,429,19-DEC-2020,10329,ABCD,10
330,430,19-DEC-2020,10330,ABCD,10
331,431,19-DEC-2020,10331,ABCD,10
332,432,19-DEC-2020,10332,ABCD,10
333,433,19-DEC-2020,10333,ABCD,10
334,434,19-DEC-2020,10334,ABCD,10
335,435,19-DEC-2020,10335,ABCD,10
336,436,19-DEC-2020,10336,ABCD,10
337,437,19-DEC-2020,10337,ABCD,10
338,438,19-DEC-2020,10338,ABCD,10
339,439,19-DEC-2020,10339,ABCD,10
340,440,19-DEC-2020,10340,ABCD,10
341,441,19-DEC-2020,10341,ABCD,10
342,442,19-DEC-2020,10342,ABCD,10
343,443,19-DEC-2020,10343,ABCD,10
344,444,19-DEC-2020,10344,ABCD,10
345,445,19-DEC-2020,10345,ABCD,10
346,446,19-DEC-2020,10346,ABCD,10
347,447,19-DEC-2020,10347,ABCD,10
348,448,19-DEC-2020,10348,ABCD,10
349,449,19-DEC-2020,10349,ABCD,10
350,450,19-DEC-2020,10350,ABCD,10
351,451,19-DEC-2020,10351,ABCD,10
352,452,19-DEC-2020,10352,ABCD,10
353,453,19-DEC-2020,10353,ABCD,10
354,454,19-DEC-2020,10354,ABCD,10
355,455,19-DEC-2020,10355,ABCD,10
356,456,19-DEC-2020,10356,ABCD,10
357,457,19-DEC-2020,10357,ABCD,10
358,458,19-DEC-2020,10358,ABCD,10
359,459,19-DEC-2020,10359,ABCD,10
360,460,19-DEC-2020,10360,ABCD,10
361,461,19-DEC-2020,10361,ABCD,10
362,462,19-DEC-2020,10362,ABCD,10
363,463,19-DEC-2020,10363,ABCD,10
364,464,19-DEC-2020,10364,ABCD,10
365,465,19-DEC-2020,10365,ABCD,10
366,466,19-DEC-2020,10366,ABCD,10
367,467,19-DEC-2020,10367,ABCD,10
368,468,19-DEC-2020,10368,ABCD,10
369,469,19-DEC-2020,10369,ABCD,10
370,470,19-DEC-2020,10370,ABCD,10
371,471,19-DEC-2020,10371,ABCD,10
372,472,19-DEC-2020,10372,ABCD,10
373,473,19-DEC-2020,10373,ABCD,10
374,474,19-DEC-2020,10374,ABCD,10
375,475,19-DEC-2020,10375,ABCD,10
376,476,19-DEC-2020,10376,ABCD,10
377,477,19-DEC-2020,10377,ABCD,10
378,478,19-DEC-2020,10378,ABCD,10
379,479,19-DEC-2020,10379,ABCD,10
380,480,19-DEC-2020,10380,ABCD,10
381,481,19-DEC-2020,10381,ABCD,10
382,482,19-DEC-2020,10382,ABCD,10
383,483,19-DEC-2020,10383,ABCD,10
384,484,19-DEC-2020,10384,ABCD,10
385,485,19-DEC-2020,10385,ABCD,10
386,486,19-DEC-2020,10386,ABCD,10
387,487,19-DEC-2020,10387,ABCD,10
388,488,19-DEC-2020,10388,ABCD,10
389,489,19-DEC-2020,10389,ABCD,10
390,490,19-DEC-2020,10390,ABCD,10
391,491,19-DEC-2020,10391,ABCD,10
392,492,19-DEC-2020,10392,ABCD,10
393,493,19-DEC-2020,10393,ABCD,10
394,494,19-DEC-2020,10394,ABCD,10
395,495,19-DEC-2020,10395,ABCD,10
396,496,19-DEC-2020,10396,ABCD,10
397,497,19-DEC-2020,10397,ABCD,10
398,498,19-DEC-2020,10398,ABCD,10
399,499,19-DEC-2020,10399,ABCD,10
400,500,19-DEC-2020,10400,ABCD,10
401,501,19-DEC-2020,10401,ABCD,10
402,502,19-DEC-2020,10402,ABCD,10
403,503,19-DEC-2020,10403,ABCD,10
404,504,19-DEC-2020,10404,ABCD,10
405,505,19-DEC-2020,10405,ABCD,10
406,506,19-DEC-2020,10406,ABCD,10
407,507,19-DEC-2020,10407,ABCD,10
408,508,19-DEC-2020,10408,ABCD,10
409,509,19-DEC-2020,10409,ABCD,10
410,510,19-DEC-2020,10410,ABCD,10
411,511,19-DEC-2020,10411,ABCD,10
412,512,19-DEC-2020,10412,ABCD,10
413,513,19-DEC-2020,10413,ABCD,10
414,514,19-DEC-2020,10414,ABCD,10
415,515,19-DEC-2020,10415,ABCD,10
416,516,19-DEC-2020,10416,ABCD,10
417,517,19-DEC-2020,10417,ABCD,10
418,518,19-DEC-2020,10418,ABCD,10
419,519,19-DEC-2020,10419,ABCD,10
420,520,19-DEC-2020,10420,ABCD,10
421,521,19-DEC-2020,10421,ABCD,10
422,522,19-DEC-2020,10422,ABCD,10
423,523,19-DEC-2020,10423,ABCD,10
424,524,19-DEC-2020,10424,ABCD,10
425,525,19-DEC-2020,10425,ABCD,10
426,526,19-DEC-2020,10426,ABCD,10
427,527,19-DEC-2020,10427,ABCD,10
428,528,19-DEC-2020,10428,ABCD,10
429,529,19-DEC-2020,10429,ABCD,10
430,530,19-DEC-2020,10430,ABCD,10
431,531,19-DEC-2020,10431,ABCD,10
432,532,19-DEC-2020,10432,ABCD,10
433,533,19-DEC-2020,10433,ABCD,10
434,534,19-DEC-2020,10434,ABCD,10
435,535,19-DEC-2020,10435,ABCD,10
436,536,19-DEC-2020,10436,ABCD,10
437,537,19-DEC-2020,10437,ABCD,10
438,538,19-DEC-2020,10438,ABCD,10
439,539,19-DEC-2020,10439,ABCD,10
440,540,19-DEC-2020,10440,ABCD,10
441,541,19-DEC-2020,10441,ABCD,10
442,542,19-DEC-2020,10442,ABCD,10
443,543,19-DEC-2020,10443,ABCD,10
444,544,19-DEC-2020,10444,ABCD,10
445,545,19-DEC-2020,10445,ABCD,10
446,546,19-DEC-2020,10446,ABCD,10
447,547,19-DEC-2020,10447,ABCD,10
448,548,19-DEC-2020,10448,ABCD,10
449,549,19-DEC-2020,10449,ABCD,10
450,550,19-DEC-2020,10450,ABCD,10
451,551,19-DEC-2020,10451,ABCD,10
452,552,19-DEC-2020,10452,ABCD,10
453,553,19-DEC-2020,10453,ABCD,10
454,554,19-DEC-2020,10454,ABCD,10
455,555,19-DEC-2020,10455,ABCD,10
456,556,19-DEC-2020,10456,ABCD,10
457,557,19-DEC-2020,10457,ABCD,10
458,558,19-DEC-2020,10458,ABCD,10
459,559,19-DEC-2020,10459,ABCD,10
460,560,19-DEC-2020,10460,ABCD,10
461,561,19-DEC-2020,10461,ABCD,10
462,562,19-DEC-2020,10462,ABCD,10
463,563,19-DEC-2020,10463,ABCD,10
464,564,19-DEC-2020,10464,ABCD,10
465,565,19-DEC-2020,10465,ABCD,10
466,566,19-DEC-2020,10466,ABCD,10
467,567,19-DEC-2020,10467,ABCD,10
468,568,19-DEC-2020,10468,ABCD,10
469,569,19-DEC-2020,10469,ABCD,10
470,570,19-DEC-2020,10470,ABCD,10
471,571,19-DEC-2020,10471,ABCD,10
472,572,19-DEC-2020,10472,ABCD,10
473,573,19-DEC-2020,10473,ABCD,10
474,574,19-DEC-2020,10474,ABCD,10
475,575,19-DEC-2020,10475,ABCD,10
476,576,19-DEC-2020,10476,ABCD,10
477,577,19-DEC-2020,10477,ABCD,10
478,578,19-DEC-2020,10478,ABCD,10
479,579,19-DEC-2020,10479,ABCD,10
480,580,19-DEC-2020,10480,ABCD,10
481,581,19-DEC-2020,10481,ABCD,10
482,582,19-DEC-2020,10482,ABCD,10
483,583,19-DEC-2020,10483,ABCD,10
484,584,19-DEC-2020,10484,ABCD,10
485,585,19-DEC-2020,10485,ABCD,10
486,586,19-DEC-2020,10486,ABCD,10
487,587,19-DEC-2020,10487,ABCD,10
488,588,19-DEC-2020,10488,ABCD,10
489,589,19-DEC-2020,10489,ABCD,10
490,590,19-DEC-2020,10490,ABCD,10
491,591,19-DEC-2020,10491,ABCD,10
492,592,19-DEC-2020,10492,ABCD,10
493,593,19-DEC-2020,10493,ABCD,10
494,594,19-DEC-2020,10494,ABCD,10
495,595,19-DEC-2020,10495,ABCD,10
496,596,19-DEC-2020,10496,ABCD,10
497,597,19-DEC-2020,10497,ABCD,10
498,598,19-DEC-2020,10498,ABCD,10
499,599,19-DEC-2020,10499,ABCD,10
500,600,19-DEC-2020,10500,ABCD,10
501,601,19-DEC-2020,10501,ABCD,10
502,602,19-DEC-2020,10502,ABCD,10
503,603,19-DEC-2020,10503,ABCD,10
504,604,19-DEC-2020,10504,ABCD,10
505,605,19-DEC-2020,10505,ABCD,10
506,606,19-DEC-2020,10506,ABCD,10
507,607,19-DEC-2020,10507,ABCD,10
508,608,19-DEC-2020,10508,ABCD,10
509,609,19-DEC-2020,10509,ABCD,10
510,610,19-DEC-2020,10510,ABCD,10
511,611,19-DEC-2020,10511,ABCD,10
512,612,19-DEC-2020,10512,ABCD,10
513,613,19-DEC-2020,10513,ABCD,10
514,614,19-DEC-2020,10514,ABCD,10
515,615,19-DEC-2020,10515,ABCD,10
516,616,19-DEC-2020,10516,ABCD,10
517,617,19-DEC-2020,10517,ABCD,10
518,618,19-DEC-2020,10518,ABCD,10
519,619,19-DEC-2020,10519,ABCD,10
520,620,19-DEC-2020,10520,ABCD,10
521,621,19-DEC-2020,10521,ABCD,10
522,622,19-DEC-2020,10522,ABCD,10
523,623,19-DEC-2020,10523,ABCD,10
524,624,19-DEC-2020,10524,ABCD,10
525,625,19-DEC-2020,10525,ABCD,10
526,626,19-DEC-2020,10526,ABCD,10
527,627,19-DEC-2020,10527,ABCD,10
528,628,19-DEC-2020,10528,ABCD,10
529,629,19-DEC-2020,10529,ABCD,10
530,630,19-DEC-2020,10530,ABCD,10
531,631,19-DEC-2020,10531,ABCD,10
532,632,19-DEC-2020,10532,ABCD,10
533,633,19-DEC-2020,10533,ABCD,10
534,634,19-DEC-2020,10534,ABCD,10
535,635,19-DEC-2020,10535,ABCD,10
536,636,19-DEC-2020,10536,ABCD,10
537,637,19-DEC-2020,10537,ABCD,10
538,638,19-DEC-2020,10538,ABCD,10
539,639,19-DEC-2020,10539,ABCD,10
540,640,19-DEC-2020,10540,ABCD,10
541,641,19-DEC-2020,10541,ABCD,10
542,642,19-DEC-2020,10542,ABCD,10
543,643,19-DEC-2020,10543,ABCD,10
544,644,19-DEC-2020,10544,ABCD,10
545,645,19-DEC-2020,10545,ABCD,10
546,646,19-DEC-2020,10546,ABCD,10
547,647,19-DEC-2020,10547,ABCD,10
548,648,19-DEC-2020,10548,ABCD,10
549,649,19-DEC-2020,10549,ABCD,10
550,650,19-DEC-2020,10550,ABCD,10
